trp_multiplayer_profile_troop_male|сеткавы профіль войска мужчына
trp_village_70_elder|Стараста вёскі
trp_village_70_elder_pl|Стараста вёскі 1
trp_village_71_elder|Стараста вёскі
trp_village_71_elder_pl|Стараста вёскі 1
trp_village_72_elder|Стараста вёскі
trp_village_72_elder_pl|Стараста вёскі 1
trp_village_73_elder|Стараста вёскі
trp_village_73_elder_pl|Стараста вёскі 1
trp_village_74_elder|Стараста вёскі
trp_village_74_elder_pl|Стараста вёскі 1
trp_village_75_elder|Стараста вёскі
trp_village_75_elder_pl|Стараста вёскі 1
trp_village_76_elder|Стараста вёскі
trp_village_76_elder_pl|Стараста вёскі 1
trp_village_77_elder|Стараста вёскі
trp_village_77_elder_pl|Стараста вёскі 1
trp_village_78_elder|Стараста вёскі
trp_village_78_elder_pl|Стараста вёскі 1
trp_village_79_elder|Стараста вёскі
trp_village_79_elder_pl|Стараста вёскі 1
trp_village_80_elder|Стараста вёскі
trp_village_80_elder_pl|Стараста вёскі 1
trp_village_81_elder|Стараста вёскі
trp_village_81_elder_pl|Стараста вёскі 1
trp_village_82_elder|Стараста вёскі
trp_village_82_elder_pl|Стараста вёскі 1
trp_village_83_elder|Стараста вёскі
trp_village_83_elder_pl|Стараста вёскі 1
trp_village_84_elder|Стараста вёскі
trp_village_84_elder_pl|Стараста вёскі 1
trp_village_85_elder|Стараста вёскі
trp_village_85_elder_pl|Стараста вёскі 1
trp_village_86_elder|Стараста вёскі
trp_village_86_elder_pl|Стараста вёскі 1
trp_village_87_elder|Стараста вёскі
trp_village_87_elder_pl|Стараста вёскі 1
trp_village_88_elder|Стараста вёскі
trp_village_88_elder_pl|Стараста вёскі 1
trp_village_89_elder|Стараста вёскі
trp_village_89_elder_pl|Стараста вёскі 1
trp_village_90_elder|Стараста вёскі
trp_village_90_elder_pl|Стараста вёскі 1
trp_merchants_end|Заканчэнне спісу гандляроў
trp_merchants_end_pl|Заканчэнне спісу гандляроў
trp_temp_array_a|часовае пабудова а
trp_temp_array_a_pl|часовае пабудова а
trp_temp_array_b|часовае пабудова b
trp_temp_array_b_pl|часовае пабудова b
trp_temp_array_c|часовае пабудова c
trp_temp_array_c_pl|часовае пабудова c
trp_stack_selection_amounts|выбар колькасці ў чарцы
trp_stack_selection_amounts_pl|выбар колькасці ў чарцы
trp_stack_selection_ids|ids абранай чаркі
trp_stack_selection_ids_pl|ids абранай чаркі
trp_notification_menu_types|тыпы меню апавяшчэнняў
trp_notification_menu_types_pl|тыпы меню апавяшчэнняў
trp_notification_menu_var1|меню апавяшчэнняў вар1
trp_notification_menu_var1_pl|меню апавяшчэнняў вар1
trp_notification_menu_var2|меню апавяшчэнняў вар2
trp_notification_menu_var2_pl|меню апавяшчэнняў вар2
trp_local_merchant|Мясцовы гандляр
trp_local_merchant_pl|Мясцовыя гандляры
trp_tax_rebel|Вясковы мяцежнік
trp_tax_rebel_pl|Вясковыя мяцежнікі
trp_trainee_peasant|Селянін
trp_trainee_peasant_pl|Сяляне
trp_fugitive|Нервовы чалавек
trp_fugitive_pl|Нервовыя людзі
trp_spy|Звычайны гараджанін
trp_spy_pl|Звычайныя гараджане
trp_oim_monfor|Жак дэ Клермон
trp_oim_monfor_pl|Манфор
trp_oim_trakai_ksendz|Ксёндз
trp_oim_trakai_ksendz_pl|Вясковыя мяцежнікі
trp_oim_polish_taver_visitor|Заўсёднік кабака
trp_oim_polish_taver_visitor_pl|Вясковыя мяцежнікі
trp_oim_tatarin_zolotarenko|Татарын
trp_oim_tatarin_zolotarenko_pl|Татарын
trp_oim_polish_lord|Шведскі афіцэр
trp_oim_zagloba_qst|Ануфрый Заглоба
trp_oim_old_man_qst|Стары
trp_oim_killer_qst|Шляхціч
trp_oim_getman_pafnutiy|Пафнуцій
trp_oim_dmitriy_yevangelik|Герасім Евангелік
trp_volhv|Вяшчун
trp_volhv_pl|Вяшчун
trp_halberdier|Алебардыст
trp_halberdier_pl|Алебардысты
trp_moskov_straj|Варта
trp_moskov_straj_pl|Варта
trp_oim_tavern_visitor_rp|Наведвальнік кабака
trp_oim_tavern_visitor_rp_pl|Наведвальнік кабака
trp_oim_tavern_visitor_mc|Наведвальнік кабака
trp_oim_tavern_visitor_mc_pl|Наведвальнік кабака
trp_oim_tavern_visitor_swed|Наведвальнік кабака
trp_oim_tavern_visitor_swed_pl|Наведвальнік кабака
trp_oim_tavern_visitor_tatar|Наведвальнік кабака
trp_oim_tavern_visitor_tatar_pl|Наведвальнік кабака
trp_oim_tavern_visitor_cossack|Наведвальнік кабака
trp_oim_tavern_visitor_cossack_pl|Наведвальнік кабака
trp_eleonora|Элеанора
trp_eleonora_pl|Элеанора
trp_alevtina|Аляўціна
trp_alevtina_pl|Аляўціна
trp_oim_caravan_master|Паганяты каравана
trp_oim_caravan_master_pl|Паганятыя каравана
trp_oim_rich_visitor|Багаты гараджанін
trp_oim_rich_visitor_pl|Багатыя гараджане
trp_spy_partner|Непрыкметны гараджанін
trp_spy_partner_pl|Непрыкметныя гараджане
trp_mercanary_captain_tatars|Капітан наймітаў
trp_mercanary_captain_tatars_pl|Капітан наймітаў
trp_mercanary_captain_kozaks|Казацкі атаман
trp_mercanary_captain_kozaks_pl|Казацкія атаманы
trp_mercanary_captain_polyak|Капітан наёмнікаў
trp_mercanary_captain_polyak_pl|Капітан наёмнікаў
trp_mercanary_captain_shved|Капітан наёмнікаў
trp_mercanary_captain_shved_pl|Капітан наёмнікаў
trp_mercanary_captain_moskov|Капітан наёмнікаў
trp_mercanary_captain_moskov_pl|Капітан наёмнікаў
trp_tatar_merch_novice_infantry|Татарскі найміт-пяхотнік (рэкрут)
trp_tatar_merch_novice_infantry_pl|Татарскія найміты-пяхотнікі (рэкруты)
trp_tatar_merch_regular_infantry|Татарскі найміт-пяхотнік (дасведчаны)
trp_tatar_merch_regular_infantry_pl|Татарскія найміты-пяхотнікі (вопытныя)
trp_tatar_merch_veteran_infantry|Татарскі найміт-пяхотнік (ветэран)
trp_tatar_merch_veteran_infantry_pl|Татарскія найміты-пяхотнікі (ветэраны)
trp_tatar_merch_champion_infantry|Татарскі найміт-пяхотнік (эліта)
trp_tatar_merch_champion_infantry_pl|Татарскія найміты-пяхотнікі (эліта)
trp_tatar_merch_novice_archer|Татарскі найміт-стралок (рэкрут)
trp_tatar_merch_novice_archer_pl|Татарскія найміты-стрэлкі (рэкруты)
trp_tatar_merch_regular_archer|Татарскі найміт-стралок (дасведчаны)
trp_tatar_merch_regular_archer_pl|Татарскія найміты-стрэлкі (вопытныя)
trp_tatar_merch_veteran_archer|Татарскі найміт-стралок (ветэран)
trp_tatar_merch_veteran_archer_pl|Татарскія найміты-стрэлкі (ветэраны)
trp_tatar_merch_champion_archer|Татарскі найміт-стралок (эліта)
trp_tatar_merch_champion_archer_pl|Татарскія найміты-стрэлкі (эліта)
trp_tatar_merch_novice_horse|Татарскі найміт-вершнік (рэкрут)
trp_tatar_merch_novice_horse_pl|Татарскія найміты-коннікі (рэкруты)
trp_tatar_merch_regular_horse|Татарскі найміт-вершнік (дасведчаны)
trp_tatar_merch_regular_horse_pl|Татарскія найміты-коннікі (вопытныя)
trp_tatar_merch_veteran_horse|Татарскі найміт-вершнік (ветэран)
trp_tatar_merch_veteran_horse_pl|Татарскія найміты-коннікі (ветэраны)
trp_tatar_merch_champion_horse|Татарскі найміт-вершнік (эліта)
trp_tatar_merch_champion_horse_pl|Татарскія найміты-коннікі (эліта)
trp_kazak_merch_novice_infantry|Казацкі найміт-пяхотнік (рэкрут)
trp_kazak_merch_novice_infantry_pl|Казацкія найміты-пяхотнікі (рэкруты)
trp_kazak_merch_regular_infantry|Казацкі найміт-пяхотнік (дасведчаны)
trp_kazak_merch_regular_infantry_pl|Казацкія найміты-пяхотнікі (вопытныя)
trp_kazak_merch_veteran_infantry|Казацкі найміт-пяхотнік (ветэран)
trp_kazak_merch_veteran_infantry_pl|Казацкія найміты-пяхотнікі (ветэраны)
trp_kazak_merch_champion_infantry|Казацкі найміт-пяхотнік (эліта)
trp_kazak_merch_champion_infantry_pl|Казацкія найміты-пяхотнікі (эліта)
trp_kazak_merch_novice_archer|Казацкі найміт-стралок (рэкрут)
trp_kazak_merch_novice_archer_pl|Казацкія найміты-стрэлкі (рэкруты)
trp_kazak_merch_regular_archer|Казацкі найміт-стралок (дасведчаны)
trp_kazak_merch_regular_archer_pl|Казацкія найміты-стрэлкі (вопытныя)
trp_kazak_merch_veteran_archer|Казацкі найміт-стралок (ветэран)
trp_kazak_merch_veteran_archer_pl|Казацкія найміты-стралкі (ветэраны)
trp_kazak_merch_champion_archer|Казацкі найміт-стралок (эліта)
trp_kazak_merch_champion_archer_pl|Казацкія найміты-стрэлкі (эліта)
trp_kazak_merch_novice_horse|Казацкі найміт-вершнік (рэкрут)
trp_kazak_merch_novice_horse_pl|Казацкія найміты-коннікі (рэкруты)
trp_kazak_merch_regular_horse|Казацкі найміт-вершнік (дасведчаны)
trp_kazak_merch_regular_horse_pl|Казацкія найміты-коннікі (вопытныя)
trp_kazak_merch_veteran_horse|Казацкі найміт-вершнік (ветэран)
trp_kazak_merch_veteran_horse_pl|Казацкія найміты-коннікі (ветэраны)
trp_kazak_merch_champion_horse|Казацкі найміт-вершнік (эліта)
trp_kazak_merch_champion_horse_pl|Казацкія найміты-коннікі (эліта)
trp_polyak_merch_novice_infantry|Польскі найміт-пяхотнік (рэкрут)
trp_polyak_merch_novice_infantry_pl|Польскія найміты-пяхотнікі (рэкруты)
trp_polyak_merch_regular_infantry|Польскі найміт-пяхотнік (дасведчаны)
trp_polyak_merch_regular_infantry_pl|Польскія найміты-пяхотнікі (вопытныя)
trp_polyak_merch_veteran_infantry|Польскі найміт-пяхотнік (ветэран)
trp_polyak_merch_veteran_infantry_pl|Польскія найміты-пяхотнікі (ветэраны)
trp_polyak_merch_champion_infantry|Польскі найміт-пяхотнік (эліта)
trp_polyak_merch_champion_infantry_pl|Польскія найміты-пяхотнікі (эліта)
trp_polyak_merch_novice_archer|Польскі найміт-стралок (рэкрут)
trp_polyak_merch_novice_archer_pl|Польскія найміты-стрэлкі (рэкруты)
trp_polyak_merch_regular_archer|Польскі найміт-стралок (дасведчаны)
trp_polyak_merch_regular_archer_pl|Польскія найміты-стрэлкі (вопытныя)
trp_polyak_merch_veteran_archer|Польскі найміт-стралок (ветэран)
trp_polyak_merch_veteran_archer_pl|Польскія найміты-стралкі (ветэраны)
trp_polyak_merch_champion_archer|Польскі найміт-стралок (эліта)
trp_polyak_merch_champion_archer_pl|Польскія найміты-стрэлкі (эліта)
trp_polyak_merch_novice_horse|Польскі найміт-вершнік (рэкрут)
trp_polyak_merch_novice_horse_pl|Польскія найміты-коннікі (рэкруты)
trp_polyak_merch_regular_horse|Польскі найміт-вершнік (дасведчаны)
trp_polyak_merch_regular_horse_pl|Польскія найміты-коннікі (вопытныя)
trp_polyak_merch_veteran_horse|Польскі найміт-вершнік (ветэран)
trp_polyak_merch_veteran_horse_pl|Польскія найміты-коннікі (ветэраны)
trp_polyak_merch_champion_horse|Польскі найміт-вершнік (эліта)
trp_polyak_merch_champion_horse_pl|Польскія найміты-коннікі (эліта)
trp_shved_merch_novice_infantry|Еўрапейскі найміт-пяхотнік (рэкрут)
trp_shved_merch_novice_infantry_pl|Еўрапейскія найміты-пяхотнікі (рэкруты)
trp_shved_merch_regular_infantry|Еўрапейскі найміт-пяхотнік (дасведчаны)
trp_shved_merch_regular_infantry_pl|Еўрапейскія найміты-пяхотнікі (вопытныя)
trp_shved_merch_veteran_infantry|Еўрапейскі найміт-пяхотнік (ветэран)
trp_shved_merch_veteran_infantry_pl|Еўрапейскія найміты-пяхотнікі (ветэраны)
trp_shved_merch_champion_infantry|Еўрапейскі найміт-пяхотнік (эліта)
trp_shved_merch_champion_infantry_pl|Еўрапейскія найміты-пяхотнікі (эліта)
trp_shved_merch_novice_archer|Еўрапейскі найміт-стралок (рэкрут)
trp_shved_merch_novice_archer_pl|Еўрапейскія найміты-стрэлкі (рэкруты)
trp_shved_merch_regular_archer|Еўрапейскі найміт-стралок (дасведчаны)
trp_shved_merch_regular_archer_pl|Еўрапейскія найміты-стрэлкі (вопытныя)
trp_shved_merch_veteran_archer|Еўрапейскі найміт-стралок (ветэран)
trp_shved_merch_veteran_archer_pl|Еўрапейскія найміты-стрэлкі (ветэраны)
trp_shved_merch_champion_archer|Еўрапейскі найміт-стралок (эліта)
trp_shved_merch_champion_archer_pl|Еўрапейскія найміты-стрэлкі (эліта)
trp_shved_merch_novice_horse|Еўрапейскі найміт-вершнік (рэкрут)
trp_shved_merch_novice_horse_pl|Еўрапейскія найміты-коннікі (рэкруты)
trp_shved_merch_regular_horse|Еўрапейскі найміт-вершнік (дасведчаны)
trp_shved_merch_regular_horse_pl|Еўрапейскія найміты-коннікі (вопытныя)
trp_shved_merch_veteran_horse|Еўрапейскі найміт-вершнік (ветэран)
trp_shved_merch_veteran_horse_pl|Еўрапейскія найміты-коннікі (ветэраны)
trp_shved_merch_champion_horse|Еўрапейскі найміт-вершнік (эліта)
trp_shved_merch_champion_horse_pl|Еўрапейскія найміты-коннікі (эліта)
trp_moskov_merch_novice_infantry|Маскоўскі найміт-пяхотнік (рэкрут)
trp_moskov_merch_novice_infantry_pl|Маскоўскія найміты-пехацінцы (рэкруты)
trp_moskov_merch_regular_infantry|Маскоўскі найміт-пяхотнік (дасведчаны)
trp_moskov_merch_regular_infantry_pl|Маскоўскія найміты-пяхотнікі (вопытныя)
trp_moskov_merch_veteran_infantry|Маскоўскі найміт-пяхотнік (ветэран)
trp_moskov_merch_veteran_infantry_pl|Маскоўскія найміты-пяхотнікі (ветэраны)
trp_moskov_merch_champion_infantry|Маскоўскі найміт-пяхотнік (эліта)
trp_moskov_merch_champion_infantry_pl|Маскоўскія найміты-пяхотнікі (эліта)
trp_moskov_merch_novice_archer|Маскоўскі найміт-стралок (рэкрут)
trp_moskov_merch_novice_archer_pl|Маскоўскія найміты-стрэлкі (рэкруты)
trp_moskov_merch_regular_archer|Маскоўскі найміт-стралок (дасведчаны)
trp_moskov_merch_regular_archer_pl|Маскоўскія найміты-стрэлкі (вопытныя)
trp_moskov_merch_veteran_archer|Маскоўскі найміт-стралок (ветэран)
trp_moskov_merch_veteran_archer_pl|Маскоўскія найміты-стрэлкі (ветэраны)
trp_moskov_merch_champion_archer|Маскоўскі найміт-стралок (эліта)
trp_moskov_merch_champion_archer_pl|Маскоўскія найміты-стрэлкі (эліта)
trp_moskov_merch_novice_horse|Маскоўскі найміт-вершнік (рэкрут)
trp_moskov_merch_novice_horse_pl|Маскоўскія найміты-коннікі (рэкруты)
trp_moskov_merch_regular_horse|Маскоўскі найміт-вершнік (дасведчаны)
trp_moskov_merch_regular_horse_pl|Маскоўскія найміты-коннікі (вопытныя)
trp_moskov_merch_veteran_horse|Маскоўскі найміт-вершнік (ветэран)
trp_moskov_merch_veteran_horse_pl|Маскоўскія найміты-коннікі (ветэраны)
trp_moskov_merch_champion_horse|Маскоўскі найміт-вершнік (эліта)
trp_moskov_merch_champion_horse_pl|Маскоўскія найміты-коннікі (эліта)
trp_castle_tavernkeeper|Гаспадар карчмы
trp_castle_tavernkeeper_pl|Гаспадар карчмы
trp_town_upgrade_armourer|Збройнік
trp_town_upgrade_armourer_pl|Збройнік
trp_town_upgrade_protection|Броннік
trp_town_upgrade_protection_pl|Броннік
trp_militiaman|Апалчэнец
trp_militiaman_pl|Апалчэнец
trp_polsk_ambassador|Пасол Рэчы Паспалітай
trp_polsk_ambassador_pl|Пасол Рэчы Паспалітай
trp_moskov_ambassador|Пасол Маскоўскага царства
trp_moskov_ambassador_pl|Пасол Маскоўскага царства
trp_tatar_ambassador|Пасол Крымскага ханства
trp_tatar_ambassador_pl|Пасол Крымскага ханства
trp_shved_ambassador|Пасол шведскага Каралеўства
trp_shved_ambassador_pl|Пасол шведскага Каралеўства
trp_kozak_ambassador|Пасол запарожскіх казакоў
trp_kozak_ambassador_pl|Пасол запарожскіх казакоў
trp_ms_player_officer_elements|Не перакладаецца
trp_ms_player_officer_elements_pl|Не перакладаецца
trp_ms_player_officer_elements_prices|Не перакладаецца
trp_ms_player_officer_elements_prices_pl|Не перакладаецца
trp_armor_smith_pol|Броннік
trp_armor_smith_pol_pl|Броннік
trp_armor_smith_rus|Броннік
trp_armor_smith_rus_pl|Броннік
trp_armor_smith_tatar|Броннік
trp_armor_smith_tatar_pl|Броннік
trp_armor_smith_swed|Броннік
trp_armor_smith_swed_pl|Броннік
trp_armor_smith_ukr|Броннік
trp_armor_smith_ukr_pl|Броннік
trp_weapon_smith_pol|Збройнік
trp_weapon_smith_pol_pl|Збройнік
trp_weapon_smith_rus|Збройнік
trp_weapon_smith_rus_pl|Збройнік
trp_weapon_smith_tatar|Збройнік
trp_weapon_smith_tatar_pl|Збройнік
trp_weapon_smith_swed|Збройнік
trp_weapon_smith_swed_pl|Збройнік
trp_weapon_smith_ukr|Збройнік
trp_weapon_smith_ukr_pl|Збройнік
trp_castle_cmd_pol|Кашталян
trp_castle_cmd_pol_pl|Кашталян
trp_castle_cmd_rus|Ваявода
trp_castle_cmd_rus_pl|Ваявода
trp_castle_cmd_tatar|Дзіздар
trp_castle_cmd_tatar_pl|Дзіздар
trp_castle_cmd_swed|Кашталян
trp_castle_cmd_swed_pl|Кашталян
trp_castle_cmd_ukr|Сотнік
trp_castle_cmd_ukr_pl|Сотнік
trp_swadian_crossbowman_multiplayer_ai|Польскі мушкецёр
trp_swadian_crossbowman_multiplayer_ai_pl|Польскія мушкецёры
trp_swadian_infantry_multiplayer_ai|Польскі пяхотнік
trp_swadian_infantry_multiplayer_ai_pl|Польская пяхота
trp_swadian_man_at_arms_multiplayer_ai|Польскі кавалерыст
trp_swadian_man_at_arms_multiplayer_ai_pl|Польская кавалерыя
trp_vaegir_archer_multiplayer_ai|Рускі стралок
trp_vaegir_archer_multiplayer_ai_pl|Рускія стрэлкі
trp_vaegir_spearman_multiplayer_ai|Руская пяхотнік
trp_vaegir_spearman_multiplayer_ai_pl|Руская пяхота
trp_vaegir_horseman_multiplayer_ai|Рускі вершнік
trp_vaegir_horseman_multiplayer_ai_pl|Рускія коннікі
trp_khergit_dismounted_lancer_multiplayer_ai|Татарскі пяхотнік
trp_khergit_dismounted_lancer_multiplayer_ai_pl|Татарская пяхота
trp_khergit_veteran_horse_archer_multiplayer_ai|Татарскі Конны стралок
trp_khergit_veteran_horse_archer_multiplayer_ai_pl|Татарская стралковая кавалерыя
trp_khergit_lancer_multiplayer_ai|Татарскі вершнік
trp_khergit_lancer_multiplayer_ai_pl|Татарскія коннікі
trp_nord_veteran_multiplayer_ai|Шведскі пяхотнік
trp_nord_veteran_multiplayer_ai_pl|Шведская пяхота
trp_nord_scout_multiplayer_ai|Шведскі кавалерыст
trp_nord_scout_multiplayer_ai_pl|Шведская кавалерыя
trp_nord_archer_multiplayer_ai|Шведскі мушкецёр
trp_nord_archer_multiplayer_ai_pl|Шведскія мушкецёры
trp_rhodok_veteran_crossbowman_multiplayer_ai|Украінскі стралок
trp_rhodok_veteran_crossbowman_multiplayer_ai_pl|Украінскія стрэлкі
trp_rhodok_veteran_spearman_multiplayer_ai|Украінскі пяхотнік
trp_rhodok_veteran_spearman_multiplayer_ai_pl|Украінская пяхота
trp_rhodok_scout_multiplayer_ai|Украінскі вершнік
trp_rhodok_scout_multiplayer_ai_pl|Украінскія коннікі
trp_sarranid_infantry_multiplayer_ai|Саранідскі пяхотнік
trp_sarranid_infantry_multiplayer_ai_pl|Саранідскія пяхотнікі
trp_sarranid_archer_multiplayer_ai|Саранідскі лучнік
trp_sarranid_archer_multiplayer_ai_pl|Саранідскія Лучнікі
trp_sarranid_horseman_multiplayer_ai|Саранідскі вершнік
trp_sarranid_horseman_multiplayer_ai_pl|Саранідскія коннікі
trp_swadian_crossbowman_multiplayer|Мушкецёр
trp_swadian_crossbowman_multiplayer_pl|Мушкецёр
trp_swadian_infantry_multiplayer|Пяхотнік
trp_swadian_infantry_multiplayer_pl|Пяхота
trp_swadian_man_at_arms_multiplayer|Кавалерыст
trp_swadian_man_at_arms_multiplayer_pl|Кавалерыя
trp_vaegir_archer_multiplayer|Стралец
trp_vaegir_archer_multiplayer_pl|Стралец
trp_vaegir_spearman_multiplayer|Пяхотнік
trp_vaegir_spearman_multiplayer_pl|Пяхота
trp_vaegir_horseman_multiplayer|Кавалерыст
trp_vaegir_horseman_multiplayer_pl|Кавалерыя
trp_khergit_veteran_footman_multiplayer|Татарскі пяхотнік
trp_khergit_veteran_footman_multiplayer_pl|Татарскі пяхотнік
trp_khergit_veteran_horse_archer_multiplayer|Конны лучнік
trp_khergit_veteran_horse_archer_multiplayer_pl|Конныя Лучнікі
trp_khergit_lancer_multiplayer|Улан
trp_khergit_lancer_multiplayer_pl|Уланы
trp_nord_archer_multiplayer|Мушкецёр
trp_nord_archer_multiplayer_pl|Мушкецёр
trp_nord_veteran_multiplayer|Пяхотнік
trp_nord_veteran_multiplayer_pl|Пяхота
trp_nord_scout_multiplayer|Кавалерыст
trp_nord_scout_multiplayer_pl|Кавалерыя
trp_rhodok_veteran_crossbowman_multiplayer|Пяхотнік
trp_rhodok_veteran_crossbowman_multiplayer_pl|Пяхота
trp_rhodok_sergeant_multiplayer|Стралок
trp_rhodok_sergeant_multiplayer_pl|Стрэлка
trp_rhodok_horseman_multiplayer|Вершнік
trp_rhodok_horseman_multiplayer_pl|Вершнік
trp_mp_swadian_militia|Копейщик апалчэння
trp_mp_swadian_militia_pl|Апалчэнне копейщиков
trp_mp_swadian_footman|Пікінер-рэкрут
trp_mp_swadian_footman_pl|Рэкруты пікінераў
trp_mp_swadian_footman_levelup|Пікінер-ветэран
trp_mp_swadian_footman_levelup_pl|Ветэраны пікінераў
trp_mp_swadian_infantry|Пікінер нямецкага ладу
trp_mp_swadian_infantry_pl|Пікінеры нямецкага ладу
trp_mp_swadian_skirmisher|Мушкецёр апалчэння
trp_mp_swadian_skirmisher_pl|Апалчэнне мушкецёраў
trp_mp_swadian_crossbowman|Жолнер-рэкрут
trp_mp_swadian_crossbowman_pl|Рэкруты жаўнераў
trp_mp_swadian_crossbowman_levelup|Жалнер-ветэран
trp_mp_swadian_crossbowman_levelup_pl|Ветэраны жалнёраў
trp_mp_swadian_sharpshooter|Мушкецёр нямецкага ладу
trp_mp_swadian_sharpshooter_pl|Мушкецёры нямецкага ладу 
trp_mp_swadian_man_at_arms|Валанцёр
trp_mp_swadian_man_at_arms_pl|Валанцёр
trp_mp_polish_dragoon|Драгун
trp_mp_polish_dragoon_pl|Драгун
trp_mp_swadian_sergeant|Панцэрны казак
trp_mp_swadian_sergeant_pl|Панцэрныя казакі
trp_mp_swadian_knight|Крылаты гусар
trp_mp_swadian_knight_pl|Крылатыя гусары
trp_mp_vaegir_footman|Пасадскі копейщик
trp_mp_vaegir_footman_pl|Пасадскія копейщики
trp_mp_vaegir_veteran|Стралецкі копейщик
trp_mp_vaegir_veteran_pl|Стралецкія капейшчыкі
trp_mp_vaegir_veteran_levelup|Стралецкі копейщик-ветэран
trp_mp_vaegir_veteran_levelup_pl|Ветэраны стралецкіх копейщиков
trp_mp_vaegir_infantry|Копейщик новага ладу
trp_mp_vaegir_infantry_pl|Копейщики новага ладу
trp_mp_vaegir_skirmisher|Пасадскі Стралец
trp_mp_vaegir_skirmisher_pl|Пасадскія Стральцы
trp_mp_vaegir_archer|Стралец
trp_mp_vaegir_archer_pl|Стралец
trp_mp_vaegir_archer_levelup|Стралец-ветэран
trp_mp_vaegir_archer_levelup_pl|Ветэраны Стральцоў
trp_mp_vaegir_marksman|Стралец новага ладу
trp_mp_vaegir_marksman_pl|Стральцы новага ладу
trp_mp_vaegir_horseman|Памесны халоп
trp_mp_vaegir_horseman_pl|Памесныя халопы
trp_mp_moskow_dragoon|Памесны кавалерыст
trp_mp_moskow_dragoon_pl|Памесная кавалерыя
trp_mp_vaegir_knight|Рэйтар
trp_mp_vaegir_knight_pl|Рэйтары
trp_mp_vaegir_guard|Баярскі дружыннік
trp_mp_vaegir_guard_pl|Баярская дружына
trp_mp_khergit_skirmisher|Капы-кулу
trp_mp_khergit_skirmisher_pl|Капы-кулу
trp_mp_khergit_skirmisher_levelup|Капы-кулу (ветэран)
trp_mp_khergit_skirmisher_levelup_pl|Капы-кулу (ветэраны)
trp_mp_saymen|Сеймен
trp_mp_saymen_pl|Сеймены
trp_mp_janissar|Янычар
trp_mp_janissar_pl|Янычар
trp_mp_khergit_horseman|Джэбелю
trp_mp_khergit_horseman_pl|Джэбелю
trp_mp_khergit_horse_archer|Джэбелю (ветэран)
trp_mp_khergit_horse_archer_pl|Джэбелю (ветэраны)
trp_mp_khergit_veteran_horse_archer|Чэркес
trp_mp_khergit_veteran_horse_archer_pl|Чэркес
trp_mp_zyndjirli|Чаркес (ветэран)
trp_mp_zyndjirli_pl|Чаркесы (вэтэраны)
trp_mp_nord_footman|Пікінер апалчэння
trp_mp_nord_footman_pl|Апалчэнне пікінераў
trp_mp_nord_trained_footman|Пікінер
trp_mp_nord_trained_footman_pl|Пікінеры
trp_mp_nord_trained_footman_levelup|Пікінер-ветэран
trp_mp_nord_trained_footman_levelup_pl|Ветэраны пікінераў
trp_mp_sved_swordmaster|Майстар мяча
trp_mp_sved_swordmaster_pl|Майстры мяча
trp_mp_nord_huntsman|Мушкецёр апалчэння
trp_mp_nord_huntsman_pl|Апалчэнне мушкецёраў
trp_mp_nord_archer|Мушкецёр
trp_mp_nord_archer_pl|Мушкецёр
trp_mp_nord_archer_levelup|Мушкецёр-ветэран
trp_mp_nord_archer_levelup_pl|Ветэраны мушкецёраў
trp_mp_nord_veteran_archer|Лейбгвардзеец
trp_mp_nord_veteran_archer_pl|Лейбгвардыя
trp_mp_nord_warrior|Драгун
trp_mp_nord_warrior_pl|Драгун
trp_mp_sved_lancers|Лансер
trp_mp_sved_lancers_pl|Лансеры
trp_mp_nord_champion|Кірасір
trp_mp_nord_champion_pl|Кірасір
trp_mp_nord_veteran|Рэйтар
trp_mp_nord_veteran_pl|Рэйтары
trp_mp_n_rhodok_spearman|Бедны казацкі стралок
trp_mp_n_rhodok_spearman_pl|Бедныя казацкія стрэлкі
trp_mp_n_rhodok_sergeant|Запарожскі стралок
trp_mp_n_rhodok_sergeant_pl|Запарожскія стрэлкі
trp_mp_n_rhodok_trained_crossbowman|Стрэлак-нецяг
trp_mp_n_rhodok_trained_crossbowman_pl|Стрэлкі-нецягі
trp_mp_n_rhodok_veteran_spearman|Стрэлак-Сярдзюк
trp_mp_n_rhodok_veteran_spearman_pl|Стрэлкі-сердзюкі
trp_mp_rhodok_spearman|Голота з самапалам
trp_mp_rhodok_spearman_pl|Голота з самапалам
trp_mp_rhodok_sergeant|Запарожскі пяхотнік
trp_mp_rhodok_sergeant_pl|Запароская пяхота
trp_mp_rhodok_trained_crossbowman|Нецяг
trp_mp_rhodok_trained_crossbowman_pl|Нецягі
trp_mp_rhodok_veteran_spearman|Сярдзюк
trp_mp_rhodok_veteran_spearman_pl|Сярдзюк
trp_quick_battle_troop_1|Рэйтар
trp_quick_battle_troop_1_pl|Рэйтары
trp_quick_battle_troop_2|Гусар
trp_quick_battle_troop_2_pl|Гусар
trp_quick_battle_troop_3|Баярын
trp_quick_battle_troop_3_pl|Баярын
trp_quick_battle_troop_4|Кірасір
trp_quick_battle_troop_4_pl|Кірасір
trp_quick_battle_troop_5|Конны лучнік
trp_quick_battle_troop_5_pl|Конныя Лучнікі
trp_quick_battle_troop_6|Мушкецёр
trp_quick_battle_troop_6_pl|Мушкецёр
trp_quick_battle_troop_7|Нецяг
trp_quick_battle_troop_7_pl|Нецягі
trp_quick_battle_troop_8|Майстар мяча
